Filename,Concentration_Label,Concentration_Value,MQ-3_R1 (kOhm)_mean,MQ-3_R1 (kOhm)_std,MQ-3_R1 (kOhm)_min,MQ-3_R1 (kOhm)_max,MQ-3_R1 (kOhm)_median,MQ-4_R1 (kOhm)_mean,MQ-4_R1 (kOhm)_std,MQ-4_R1 (kOhm)_min,MQ-4_R1 (kOhm)_max,MQ-4_R1 (kOhm)_median,MQ-6_R1 (kOhm)_mean,MQ-6_R1 (kOhm)_std,MQ-6_R1 (kOhm)_min,MQ-6_R1 (kOhm)_max,MQ-6_R1 (kOhm)_median,MQ-3_R2 (kOhm)_mean,MQ-3_R2 (kOhm)_std,MQ-3_R2 (kOhm)_min,MQ-3_R2 (kOhm)_max,MQ-3_R2 (kOhm)_median,MQ-4_R2 (kOhm)_mean,MQ-4_R2 (kOhm)_std,MQ-4_R2 (kOhm)_min,MQ-4_R2 (kOhm)_max,MQ-4_R2 (kOhm)_median,MQ-6_R2 (kOhm)_mean,MQ-6_R2 (kOhm)_std,MQ-6_R2 (kOhm)_min,MQ-6_R2 (kOhm)_max,MQ-6_R2 (kOhm)_median
Ea-C1_R01.txt,1.0%,1.0,17.784453427561836,7.54224712768269,10.6973,37.8246,14.55855,43.79386727915194,4.243443117218233,38.5923,50.8889,42.3374,96.68552858657245,21.849025882928334,69.5191,138.3951,91.15745,52.56673597173145,18.311485471966254,34.1687,99.0938,45.5783,38.49608727915194,6.215383875449827,31.0248,49.5381,36.6523,75.37075120141344,19.257845664357863,52.2596,112.9426,70.2744
Ea-C1_R02.txt,1.0%,1.0,16.684867985865726,7.221322563515232,9.896,35.8947,13.6396,43.55653409893993,4.502509897872321,37.722,51.1107,42.3765,96.7648990106007,21.995054890137695,67.7841,139.2293,92.08500000000001,50.251008409893984,17.48001357906262,32.4381,95.708,43.6653,38.081992120141344,6.072517178654392,30.4712,48.9868,36.4975,75.79218346289753,19.495843267273706,51.2546,113.5326,71.22035
Ea-C1_R03.txt,1.0%,1.0,15.625611378091872,6.876272876201132,9.2471,33.9475,12.693249999999999,43.36163971731448,4.739438256623637,37.2257,51.3512,42.1812,95.4758986925795,22.515106026768272,65.8187,138.3951,90.48554999999999,48.90789173144877,17.61515934492263,31.1898,94.6211,42.16405,37.817343462897526,6.374479306598213,29.9299,49.148,36.2169,74.85171487632509,19.935780877581422,49.9713,113.6944,70.1622
Ea-C1_R04.txt,1.0%,1.0,16.550054946996468,7.248312274234358,9.9348,35.7086,13.3075,44.46344607773852,4.422747412991998,38.7766,51.7674,43.3322,99.79779681978799,21.915822916724164,70.9915,141.1579,95.0213,51.01458865724382,18.181294721326697,33.3661,93.9864,43.26945,39.02021173144876,6.078700501604897,31.4681,49.6528,37.4727,78.68187070671378,19.619384407894213,54.1331,116.3929,74.2054
Ea-C1_R05.txt,1.0%,1.0,15.561416607773852,6.872908249275703,9.2042,34.0118,12.6017,44.16322148409894,4.811988907345525,37.9904,52.3657,42.8639,97.49447537102473,22.81540938724599,67.6189,141.8635,92.3528,48.79381766784453,17.506135042632923,31.3229,94.5015,42.0075,38.66498441696113,6.609499658190201,30.5978,50.5841,37.04585,76.59145477031801,20.197269572625245,51.1132,116.6179,71.87475
Ea-C1_R06.txt,1.0%,1.0,14.622082296819787,6.529888588888986,8.6049,31.9642,11.78745,43.16878989399294,4.913534880272079,36.7488,51.524,42.01935,93.81189427561839,22.987751910755705,63.5065,138.2444,88.6604,44.5604238869258,16.59920824166463,28.556,88.6784,37.8876,37.282101554770314,6.722601205269794,28.8829,49.3913,35.60745,73.27738929328622,20.257367287460365,48.0349,113.0495,68.43895
Ea-C1_R07.txt,1.0%,1.0,15.27270113074205,6.661150069837322,9.0904,33.0089,12.428799999999999,43.76242229681979,4.926809040811776,37.3681,51.995,42.455,95.90363332155475,22.92421602257968,65.7961,140.6908,90.54124999999999,47.70749625441696,16.91211162743703,30.7864,90.3929,40.8224,38.065410106007064,6.760033441136569,29.6109,50.1152,36.3542,75.09426915194346,20.29428372917963,49.8197,114.7281,70.24940000000001
Ea-C1_R08.txt,1.0%,1.0,14.335070459363958,6.3623471443646435,8.4166,31.2729,11.6126,43.22108561837456,4.9534010280823155,36.7381,51.4375,42.1812,93.99927010600706,22.89353931406998,63.7646,138.4706,89.0026,45.670849010600705,16.605637878200298,29.0403,88.0,39.2483,37.49507830388693,6.718918467842971,29.0489,49.5218,35.92345,73.59009600706713,20.37702116102522,48.2658,113.2102,68.8123
Ea-C1_R09.txt,1.0%,1.0,14.727478621908128,6.525494722507522,8.6132,32.1872,11.9303,43.20653303886926,4.716515101898934,36.9105,51.0082,42.226699999999994,95.52443925795053,22.2646345200947,65.6381,137.8687,91.1387,47.61414176678445,16.621585960526822,30.5505,90.69,41.3123,37.69941657243816,6.415735633381832,29.5217,48.9386,36.2432,75.0470416607774,19.904107482826678,49.9409,113.6404,70.575
Ea-C1_R10.txt,1.0%,1.0,14.850508692579504,6.475139681612795,8.7263,32.0412,12.1632,43.53890985865724,4.565395989073696,37.2804,51.0594,42.711600000000004,96.29840434628976,21.88247562680807,66.2277,137.4203,92.1614,47.03943003533569,17.114879283774226,30.1168,92.8922,40.4657,37.89284706713781,6.245083891410632,29.8559,48.8424,36.5561,75.3860609540636,19.561889338753158,50.3684,113.0495,71.0677
Ea-C2_R01.txt,2.5%,2.5,7.899218268551237,3.979341904518831,4.2449,18.7944,6.18995,36.07021159010601,6.813572245242451,27.7002,48.2865,34.222750000000005,67.02016095406361,25.05801631890466,37.4077,119.6701,59.618,25.072616289752652,9.993445228287072,15.1379,52.066,21.4146,28.725219116607775,8.183180578335321,19.2646,44.249,26.1526,50.26905745583039,21.476170128126597,25.7591,96.6913,43.64005
Ea-C2_R02.txt,2.5%,2.5,7.877214593639576,3.9987949170388353,4.2449,18.8188,6.10865,36.49461628975265,6.6615623157576795,28.238,48.2708,34.6614,69.099308409894,25.030740176143514,39.0892,120.917,61.7941,25.057144911660775,9.737615612883774,15.4396,51.6979,21.41185,29.360841378091873,8.125010483208838,19.9231,44.444,26.7905,52.1771554416961,21.693305331593244,27.406,98.5373,45.65875
Ea-C2_R03.txt,2.5%,2.5,7.51945183745583,3.876066426922948,3.9909,18.0799,5.82425,32.92730632508834,6.04339992364341,25.4241,43.712,31.2498,60.504939399293285,22.232355356745973,34.3823,106.7764,53.4592,23.841415477031806,9.341626755991593,14.42,48.0781,20.344450000000002,26.170767420494705,6.958869682150111,17.9212,39.4192,23.9928,45.41375148409894,18.930420663818953,23.9074,85.9456,39.62465
Ea-C2_R04.txt,2.5%,2.5,7.04568296819788,3.799752706653571,3.8118,17.322,5.19625,31.127959823321557,6.298051798223065,23.9801,42.5469,28.674999999999997,56.25410883392226,22.55952347191584,31.6417,104.5306,48.40365,23.076531660777388,9.645941219281116,14.0313,48.7909,19.0127,24.39867219081272,7.132066963549637,16.5554,38.3295,21.76905,41.22666890459364,18.648791877998857,21.0284,81.742,35.1285
Ea-C2_R05.txt,2.5%,2.5,6.906988727915194,3.6342813655830573,3.6893,16.8959,5.2789,33.249733250883395,6.87087025356485,25.0157,45.6986,31.16735,60.32873575971731,24.09095102167988,32.5687,111.9356,52.64155,21.80541954063604,8.798938975800544,13.1365,44.5496,18.3169,26.019243215547704,7.861931959430436,17.0767,41.1478,23.232550000000003,44.240157102473496,20.2274086305214,21.8303,88.5707,37.814099999999996
Ea-C2_R06.txt,2.5%,2.5,7.69187851590106,3.8373946092106266,4.2066,18.2265,6.00245,35.71738127208481,6.610285425029923,27.4916,47.6471,33.93595,66.7497361484099,24.347693375222466,37.5529,117.9836,59.618,24.519295653710248,9.938500827968022,14.8808,51.5231,20.6357,28.376076148409897,7.809986048025765,19.1653,43.0503,25.8955,49.55867081272085,20.605196915222542,25.7257,94.3029,43.3946
Ea-C2_R07.txt,2.5%,2.5,7.0984697526501765,3.562118278314108,3.8255,16.887,5.5756,34.809720212014135,6.788882037976368,26.2787,47.1717,33.1176,63.672100176678434,24.29628954080368,34.4383,114.8379,56.3728,22.54935261484099,9.12755241647946,13.6508,46.75,18.91425,27.278345441696114,7.972594129126502,17.9027,42.5469,24.72265,46.820583922261484,20.463741071299694,23.3096,91.4021,40.59755
Ea-C2_R08.txt,2.5%,2.5,7.434650318021202,3.734941627376019,4.0664,17.6927,5.8231,35.65029314487632,6.882863307520066,27.1602,48.1451,33.8154,65.88520572438162,24.96699354903231,36.2209,118.7927,58.5766,23.973385300353357,9.674256452942283,14.5801,49.3987,20.1404,28.2117380565371,8.076568210243494,18.8511,43.4267,25.519,48.67268314487633,21.090650777350334,24.8149,94.3425,42.16405
Ea-C2_R09.txt,2.5%,2.5,7.323558621908126,3.7215101158675212,3.9316,17.5546,5.69435,35.49899282685512,6.932012732631669,26.8121,48.0511,33.7625,65.70333777385159,24.97881504812957,35.5042,118.4448,58.348749999999995,23.431551660777384,9.367289011767001,14.2303,48.2948,19.861,28.092116042402825,8.105544099424618,18.5327,43.5215,25.5801,48.76989823321554,21.024295201542312,24.4388,94.184,42.37
Ea-C2_R10.txt,2.5%,2.5,8.396536713780918,4.092829377669849,4.6677,19.6361,6.6302,37.37461664310953,6.533676956112182,29.1682,49.0351,35.6229,71.64177798586573,24.818227767344425,41.5483,123.1064,64.3728,27.010194628975267,10.840618075307793,16.5354,55.8717,22.651049999999998,30.193119010600704,7.9056046441674726,20.7985,44.8662,27.7152,53.972765901060065,21.283210895967596,29.1935,99.266,47.8914
Ea-C3_R01.txt,5.0%,5.0,8.648557173144876,5.463400844426669,4.0067,23.6309,6.00705,34.17429342756184,8.412259625462845,24.7914,49.5381,30.8531,61.392858975265014,27.69829407205245,31.7177,120.5585,50.8788,18.70503561837456,9.841333394749224,9.8841,46.2136,14.4355,27.483901130742055,8.662690499136952,18.0651,43.7667,23.910800000000002,45.41618169611307,23.590893880305714,20.9796,97.4814,36.7728
Ea-C3_R02.txt,5.0%,5.0,9.338759081272086,5.7620702181186605,4.4382,25.0021,6.495,36.51710134275619,8.118491663793082,27.1895,51.0594,33.595,68.34825130742048,28.139986661609544,36.8743,127.627,58.43405,20.141538586572437,10.617486191239509,10.8548,49.8954,15.3904,29.65514137809187,8.678277834341701,19.9902,45.655,26.16305,51.15283752650177,24.62944735772242,24.9374,104.1095,42.2911
Ea-C3_R03.txt,5.0%,5.0,10.17080922261484,6.084870480565384,4.9076,26.6865,7.28545,38.117178268551235,7.84599682100982,28.6243,52.0653,35.5663,73.46831462897525,28.050001058238585,40.7069,131.6036,64.4166,22.395642614840988,11.18312217272383,12.1957,53.5595,17.70655,31.364765512367494,8.582775415516632,21.4346,47.309,28.31855,55.84504056537103,24.650691004076382,28.2505,107.7071,47.9559
Ea-C3_R04.txt,5.0%,5.0,9.96509406360424,5.647207918003586,4.8673,25.015,7.3409,29.466435901060073,6.5196158850541535,22.0632,41.9227,26.50115,52.187206289752645,23.502149985287307,27.249,102.4526,43.6843,23.746216855123674,9.933934790672103,13.4691,48.9973,20.0728,23.17009335689046,6.694848500271602,15.716,36.5455,20.49075,37.61551031802121,19.009688550032383,17.3674,79.3072,30.8764
Ea-C3_R05.txt,5.0%,5.0,9.56387696113074,5.804342851034031,4.5721,25.2823,6.7703,32.80070445229681,7.530894213812925,24.4206,46.4342,29.69235,58.891794098939926,26.207206956484107,30.8355,113.8025,49.14545,21.84062293286219,9.832983559326888,12.0489,47.7484,18.1176,26.590191307420493,8.570737976488843,17.303,42.6522,23.00225,44.451059434628974,22.60096835108044,20.9687,93.0861,36.092
Ea-C3_R06.txt,5.0%,5.0,10.305699540636043,6.138708658111462,4.9672,26.9802,7.3801000000000005,35.60972544169611,7.257017020256801,27.131,48.5712,33.1364,67.62621325088338,26.55534671723906,37.0374,122.247,58.77695,23.361930954063602,10.504761076086009,13.0823,51.0819,19.298299999999998,29.4751516254417,8.535030456001532,19.9747,44.7954,26.352600000000002,51.8620751590106,23.410476017710277,26.0756,101.2827,43.9192
Ea-C3_R07.txt,5.0%,5.0,9.839803922261485,5.943618525214413,4.7241,25.9674,6.9412,35.681146466431095,7.464976097322876,27.0145,48.9707,32.9682,67.11505706713781,27.06689782442133,36.4805,123.0447,57.6915,22.7654722614841,10.559228996993484,12.5351,50.7389,18.61215,29.474633851590106,8.302195044882959,20.0731,44.6825,26.26815,51.4733248409894,23.901636348653515,25.6058,102.1806,42.9153
Ea-C3_R08.txt,5.0%,5.0,11.203481554770319,6.396743135087377,5.5089,28.511,8.2654,37.80856480565371,7.157608496552737,28.8278,50.3656,35.659,74.29558268551237,26.783713029806396,41.5364,128.885,66.2277,26.16897593639576,11.447224097168062,14.6706,57.6171,22.091,31.540342579505296,8.077043403936237,21.8571,46.197,28.8396,57.68386236749117,23.851779369086785,29.8631,106.7764,50.4299
Ea-C3_R09.txt,5.0%,5.0,10.378069575971733,6.16422407692866,5.1044,27.0224,7.3485,37.227305229681974,7.499166015915866,28.3609,50.3991,34.52755,71.15082734982332,27.577967228422043,39.686,128.088,61.8044,23.98074992932862,11.17418374794904,13.4065,53.4592,19.433799999999998,30.891121166077735,8.51562189801969,21.2847,46.5087,27.5808,54.92237243816255,24.584842839087088,28.1913,105.955,46.3778
Ea-C3_R10.txt,5.0%,5.0,9.474226395759716,5.7864467610444335,4.4793,25.0734,6.6362,36.30665233215548,7.58996040630438,27.3143,49.9163,33.681,68.24072328621907,27.18279565095067,36.6314,125.0461,59.0554,22.38405070671378,10.485218595533597,12.2576,50.4607,18.2431,29.893084063604245,8.87251617278719,19.9489,46.3302,26.801299999999998,52.768296042402824,23.993909140495894,26.2524,104.0628,44.634100000000004
Ea-C3_R11.txt,5.0%,5.0,11.105101696113074,6.427231529581801,5.5689,28.541,7.9609000000000005,38.3620548409894,7.0602541948819395,29.7494,50.5504,36.085449999999994,75.31704671378093,26.902071952946812,43.0019,130.3682,66.67515,26.0170893639576,11.648120558493531,14.8052,58.1598,21.52825,32.16434770318021,8.129066195339284,22.6824,46.7482,29.3122,58.74981356890459,24.063258682456816,31.3646,108.3517,50.9958
